Tweet_count,Username,Text,Created At,Retweets,Likes
34,France Rugby,"🏴󠁧󠁢󠁳󠁣󠁴󠁿🇫🇷 𝟮𝗲 𝘃𝗶𝗰𝘁𝗼𝗶𝗿𝗲 dans ce Tournoi 2024 pour nos Bleues ! 
 
𝗥𝗲𝗻𝗱𝗲𝘇-𝘃𝗼𝘂𝘀 𝗱𝗶𝗺𝗮𝗻𝗰𝗵𝗲 𝟭𝟰 𝗮𝘃𝗿𝗶𝗹 𝗮̀ 𝗝𝗲𝗮𝗻 𝗕𝗼𝘂𝗶𝗻 ! 🔥
  
#ECOFRA #XVdeFrance #NeFaisonsXV https://t.co/b1g9lMZUX0",Sat Mar 30 16:15:37 +0000 2024,67,597
35,Netflix France,"RIPLEY (2024)
Dir. de la photographie : Robert Elswit https://t.co/5JH4SESgen",Wed Apr 10 16:00:00 +0000 2024,26,331
36,NORML France,📸 Retour en photos sur la #Cannaparade 2024 de samedi dernier à #Paris : https://t.co/EcsKQvP8jd,Thu May 30 17:05:02 +0000 2024,24,97
37,Equipe de France ⭐⭐,"𝐂𝐀𝐏 𝐒𝐔𝐑 𝐋'𝐄𝐔𝐑𝐎𝐏𝐄 👉

L'@EURO2024 en Allemagne 🇩🇪 débute dans 1️⃣0️⃣0️⃣ jours ! ⏳🔜

#FiersdetreBleus https://t.co/AotaLEL4lo",Wed Mar 06 11:42:00 +0000 2024,583,6151
38,Libertiyanoğlu,"DUYURU

Batılı Değerler Konseyi 19.03.2024 tarihli olağan genel kurul toplantısında, EURO 2024 için kararını vermiştir.

Putin’e karşı dimdik ayakta duran, takımında ırksal çeşitliliğe yer veren FRANSA CUMHURİYETİ desteklenecektir.

Temsilcimize turnuvada başarılar diliyoruz. https://t.co/FNxyAILR2j",Tue Mar 19 21:07:26 +0000 2024,7,262
39,Vogue France,La chanteuse des #BlackPink #Jennie créait ce matin l'euphorie alors qu'elle faisait son entrée au défilé @Chanel automne hiver 2024-2025 en total look. #JENNIExChanelFW24 #ParisFashionWeek https://t.co/voSdkCMLEv,Tue Mar 05 12:13:27 +0000 2024,3619,7642
40,Netflix France,"🤢🤢🤢🤢🤢🤢
🤢   La météo  🤢
🤢🤢🤢🤢🤢🤢

💗💓🩷💞💖💗🩷
🩷   Outer Banks   💞
💖       en 2024      💖
💗💓🩷💞💖💗🩷",Tue Mar 26 16:01:20 +0000 2024,408,3718
41,Château de Chantilly,"Pour la première fois en France, une exposition sera dédiée à André Charles Boulle au sein des Grands Appartements du Château de Chantilly.

📆 Du 8 juin au 6 octobre 2024
👉 https://t.co/0RV0JWmPnJ
👉 Exposition accessible avec le billet 1 Jour
🎥 Drôles d'oiseaux agence https://t.co/9l0s1X1kgw",Thu May 30 16:20:12 +0000 2024,22,56
42,B24,Eis os convocados de França para o Euro 2024 🇫🇷 https://t.co/GbvhKdCQ5w,Thu May 16 18:31:22 +0000 2024,56,1179
43,Netflix France,"Dans Netflix, il y a “NFL”.

Les matchs de Noël de la saison 2024 seront retransmis en direct sur Netflix ! https://t.co/a0yL72oQCj",Wed May 15 14:24:20 +0000 2024,232,2193
