Tweet_count,Username,Text,Created At,Retweets,Likes
48,Association des Climato-Réalistes,"Des #températures 10°C sous les moyennes en France, les cols alpins qui ferment 2 mois après leur ouverture tardive à cause de la #neige...On nous dit que chaque mois est toujours le plus chaud jamais enregistré année après année....pouvez-vous croire cela ? 🤔 https://t.co/yfTAdCXuwr",Fri Sep 13 18:21:00 +0000 2024,1391,2484
49,Bleu Blanc Rouge ! 🇫🇷,Donc là en toute tranquillité vous avez un mec qui appelle à mener l’Intifada (révolution en arabe) en plein Paris et personne ne bronche. Ce n’est pas ma France et ça ne le sera jamais. ✋🏻https://t.co/whjXIpG7iw,Sun Sep 08 17:57:00 +0000 2024,2360,7166
50,FranceUnie 🇫🇷,"Éric Piolle (maire les écologistes de Grenoble) :""Personne n’est à l’abri d’une balle perdue mais, en l’occurrence, le sujet est déplacé, puisqu’il s’agit, ici, d’un accident de la circulation.""  
#Cnews #Grenoble https://t.co/Zi5R4pyqH2",Sun Sep 08 17:27:27 +0000 2024,724,1608
51,Fdesouche.com est une revue de presse,"El Mordjene, la pâte à tartiner algérienne qui concurrence Nutella en France https://t.co/NGTTjLOInp",Mon Sep 09 08:45:34 +0000 2024,199,1364
52,Forces Spéciales Françaises 🌟,"A la demande de sa compagne Léa, faites voyager le sourire d'Alain Bertoncello du Commando Hubert, décédé au combat après avoir libéré deux otages français.

J'espère que la France n'oubliera jamais ce qu'il a fait. Il a donné sa vie pour la France.

Ne jamais oublier. 🖤 https://t.co/YfFiKbcg1v",Sun Sep 08 18:56:57 +0000 2024,10858,35218
53,Mike Bresson 🇪🇺🇫🇷,"Sur France Inter, @SophiaAram se payé successivement :
- la France insoumise, le Parti socialiste, la gauche dans leur ensemble 
- Mathilde Panot
- Judith Godrèche
Et, cerise sur le gâteau Lucie Castets.
C’est…et bien, à vous de juger. https://t.co/HSJqMJ3KYt",Tue Sep 10 07:33:51 +0000 2024,761,2792
54,Patricio Andolini 🇨🇵🇮🇹 🇮🇱 ⚡️PFM Soutien FDO⚡,"Quand on écoute cet imam  , on comprend pourquoi les électeurs de la France Insoumise sont des teubés  😂😂😂  Démonstration éclatante !!! https://t.co/Ot0fFaHw7M",Tue Sep 10 12:23:09 +0000 2024,1206,2752
55,ManuThatcher 🏴🐢🦺🇵🇸🔻,"Outré de voir le dictateur se balader au Havre hier soir après son coup d'État comme si de rien n'était, alors qu'il bat des records d'impopularité.

On doit retrouver l'énergie chaotique de l'année dernière, c'est comme ça que ce cinglé doit être accueilli dans toute la France : https://t.co/5r8vEpVL22",Fri Sep 13 17:59:38 +0000 2024,2540,5718
56,Patricio Andolini 🇨🇵🇮🇹 🇮🇱 ⚡️PFM Soutien FDO⚡,Manon Aubry de la France Insoumise n est pas très rassurante  et en plus elle dit que la majorité des français est pour la régularisation des travailleurs sans papiers et on sait ce que ça veut dire ... https://t.co/WEM1A97dYz,Wed Sep 11 07:11:56 +0000 2024,114,297
57,Alexis Poulin,"Le monde entier juge que Macron a fait une sorte de coup d’Etat dégueulasse. 

La presse française le trouve rusé et blâme la gauche pour l’alliance RN-Macronistes. 

On a un gros problème de médias en France.",Sun Sep 08 16:21:06 +0000 2024,5281,18904
58,Sans drap 🇨🇵🌿🐎,"Quelle honte ! Depuis plus d'une semaine, la réfugiée afghane Marzieh Hamidi, menacée de mort et de viol pour avoir dénoncé le régime des talibans, doit vivre cachée et sous protection policière. En France, pays où elle pensait trouver la liberté mais qui est désormais colonisé https://t.co/2BjuN0V272",Wed Sep 11 04:30:59 +0000 2024,3209,9307
